Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
434.0,2312.0,32.1849499884574,20.0,170.0,Coagulation,"[434.0, 435.0]",01d03h00m,VID289,D5
436.0,815.0,6.736084199575694,9.0,459.0,Move large,[436.0],01d03h00m,VID289,D5
18.0,1575.0,18.096389329737768,22.0,682.0,Possible Coagulation,"[18.0, 446.0]",01d03h00m,VID289,D5
440.0,1023.0,9.472934721513449,10.0,751.0,Move,,01d03h00m,VID289,D5
626.0,246.0,1.1170529367210877,5.0,848.0,Splitting,[438.0],01d03h00m,VID289,D5
32.0,2364.0,33.27685714439506,33.0,389.0,Possible Coagulation,"[32.0, 448.0]",01d03h00m,VID289,D5
628.0,388.0,2.212680366972102,29.0,228.0,Splitting,[441.0],01d03h00m,VID289,D5
629.0,1443.0,15.869768467277847,38.0,528.0,Possible Coagulation,"[436.0, 437.0, 443.0, 451.0]",01d03h00m,VID289,D5
630.0,323.0,1.6806407033806199,37.0,971.0,Splitting,[444.0],01d03h00m,VID289,D5
445.0,1245.0,12.718184506968077,74.0,791.0,Move,,01d03h00m,VID289,D5
631.0,539.0,3.6228824405866797,69.0,238.0,Splitting,[10.0],01d03h00m,VID289,D5
452.0,3457.0,58.84643574668421,101.0,895.0,Move,,01d03h00m,VID289,D5
632.0,1359.0,14.504417064335955,81.0,491.0,Appearance type 2,,01d03h00m,VID289,D5
633.0,404.0,2.3509486413706187,70.0,617.0,Splitting,[446.0],01d03h00m,VID289,D5
449.0,1795.0,22.017488256390628,91.0,19.0,Move,,01d03h00m,VID289,D5
446.0,1221.0,12.3522078219404,84.0,682.0,Move large,[446.0],01d03h00m,VID289,D5
635.0,197.0,0.8005167679208838,80.0,281.0,Splitting,[314.0],01d03h00m,VID289,D5
636.0,1945.0,24.83421876421059,95.0,349.0,Appearance type 2,,01d03h00m,VID289,D5
637.0,150.0,0.5318730468184368,96.0,544.0,Splitting,[451.0],01d03h00m,VID289,D5
638.0,1663.0,19.63403079510258,114.0,755.0,Splitting,[460.0],01d03h00m,VID289,D5
639.0,246.0,1.1170529367210877,101.0,81.0,Splitting,[35.0],01d03h00m,VID289,D5
640.0,150.0,0.5318730468184368,118.0,810.0,Splitting,[38.0],01d03h00m,VID289,D5
451.0,1859.0,23.20545983081322,135.0,566.0,Possible Coagulation,"[451.0, 458.0, 465.0]",01d03h00m,VID289,D5
642.0,295.0,1.4669121913623366,117.0,705.0,Splitting,[460.0],01d03h00m,VID289,D5
42.0,2082.0,27.503767098750444,138.0,963.0,Move large and grow,[42.0],01d03h00m,VID289,D5
458.0,251.0,1.1512818981808104,120.0,655.0,Move large,[458.0],01d03h00m,VID289,D5
645.0,188.0,0.7462904220676627,129.0,374.0,Splitting,[461.0],01d03h00m,VID289,D5
646.0,1625.0,18.964925542465892,147.0,282.0,Appearance type 2,,01d03h00m,VID289,D5
469.0,794.0,6.477416864115293,156.0,62.0,Move large,[469.0],01d03h00m,VID289,D5
457.0,1153.0,11.334831148089386,162.0,16.0,Move,,01d03h00m,VID289,D5
648.0,679.0,5.122426734147904,160.0,419.0,Appearance type 2,,01d03h00m,VID289,D5
464.0,843.0,7.086184504106591,167.0,134.0,Move,,01d03h00m,VID289,D5
472.0,1665.0,19.669460619772455,183.0,191.0,Move,,01d03h00m,VID289,D5
649.0,458.0,2.837718496767197,175.0,912.0,Splitting,[42.0],01d03h00m,VID289,D5
57.0,858.0,7.276156403038544,185.0,553.0,Move,,01d03h00m,VID289,D5
650.0,408.0,2.3859500015792343,182.0,97.0,Splitting,[469.0],01d03h00m,VID289,D5
651.0,731.0,5.721990855875752,190.0,478.0,Splitting,[454.0],01d03h00m,VID289,D5
652.0,1063.0,10.033928240986583,202.0,411.0,Appearance type 2,,01d03h00m,VID289,D5
653.0,1042.0,9.738065075834667,205.0,613.0,Appearance type 2,,01d03h00m,VID289,D5
654.0,863.0,7.3398517403700545,199.0,360.0,Splitting,[461.0],01d03h00m,VID289,D5
