Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
472.0,1.0,0.000289515016143244,16.0,68.0,Splitting,[358.0],00d15h00m,VID289,E6
473.0,2.0,0.0008188721246808825,19.0,397.0,Splitting,[5.0],00d15h00m,VID289,E6
11.0,3.0,0.0015043641525426669,12.0,586.0,Coagulation,"[416.0, 11.0]",00d15h00m,VID289,E6
6.0,4.0,0.002316120129145952,12.0,687.0,Move,,00d15h00m,VID289,E6
474.0,5.0,0.003236876283016213,5.0,756.0,Edge Appearance type 3,,00d15h00m,VID289,E6
475.0,9.0,0.007816905435867588,25.0,854.0,Splitting,[10.0],00d15h00m,VID289,E6
476.0,10.0,0.009155268678330684,30.0,980.0,Splitting,[418.0],00d15h00m,VID289,E6
356.0,11.0,0.010562339476929096,38.0,213.0,Move large,[356.0],00d15h00m,VID289,E6
478.0,12.0,0.012034913220341335,29.0,298.0,Splitting,[27.0],00d15h00m,VID289,E6
479.0,14.0,0.015165723982280842,39.0,931.0,Splitting,[422.0],00d15h00m,VID289,E6
359.0,16.0,0.018528961033167615,35.0,639.0,Move,,00d15h00m,VID289,E6
420.0,17.0,0.02029291685993695,38.0,106.0,Move,,00d15h00m,VID289,E6
421.0,23.0,0.03193470054051968,46.0,269.0,Move,,00d15h00m,VID289,E6
13.0,24.0,0.03403987499637995,60.0,340.0,Move,,00d15h00m,VID289,E6
18.0,26.0,0.038382310636605806,53.0,798.0,Move,,00d15h00m,VID289,E6
7.0,34.0,0.057397036486864964,61.0,837.0,Move,,00d15h00m,VID289,E6
23.0,39.0,0.07051280715651272,61.0,566.0,Move,,00d15h00m,VID289,E6
22.0,40.0,0.07324214942664548,67.0,41.0,Move,,00d15h00m,VID289,E6
24.0,43.0,0.08163450756952981,80.0,983.0,Move,,00d15h00m,VID289,E6
25.0,46.0,0.09032497322945274,69.0,896.0,Move large,[25.0],00d15h00m,VID289,E6
26.0,51.0,0.10544508910554565,71.0,735.0,Move,,00d15h00m,VID289,E6
481.0,53.0,0.11170816000234089,75.0,284.0,Splitting,[15.0],00d15h00m,VID289,E6
482.0,54.0,0.11488457811278235,88.0,465.0,Splitting,[45.0],00d15h00m,VID289,E6
483.0,56.0,0.12132579185824674,82.0,663.0,Appearance type 2,,00d15h00m,VID289,E6
29.0,58.0,0.12788307907387347,90.0,243.0,Move,,00d15h00m,VID289,E6
35.0,59.0,0.13120461507637457,82.0,99.0,Move,,00d15h00m,VID289,E6
484.0,62.0,0.14133789803890667,83.0,523.0,Appearance type 2,,00d15h00m,VID289,E6
34.0,66.0,0.15523405325118997,100.0,546.0,Move,,00d15h00m,VID289,E6
38.0,67.0,0.15877543017241558,92.0,578.0,Move large,[38.0],00d15h00m,VID289,E6
36.0,77.0,0.19561726463296106,96.0,375.0,Move,,00d15h00m,VID289,E6
31.0,84.0,0.2228897120188666,116.0,180.0,Move,,00d15h00m,VID289,E6
21.0,87.0,0.23493621785023736,106.0,910.0,Possible Coagulation,"[422.0, 25.0, 21.0]",00d15h00m,VID289,E6
44.0,89.0,0.24308384877707592,105.0,405.0,Move,,00d15h00m,VID289,E6
39.0,91.0,0.2513235482010892,104.0,118.0,Move,,00d15h00m,VID289,E6
41.0,100.0,0.289515016143244,111.0,730.0,Move,,00d15h00m,VID289,E6
53.0,102.0,0.2982437501974043,132.0,443.0,Move,,00d15h00m,VID289,E6
47.0,106.0,0.3159583898061084,117.0,583.0,Move,,00d15h00m,VID289,E6
427.0,111.0,0.33857552626338366,127.0,700.0,Move large,[427.0],00d15h00m,VID289,E6
54.0,116.0,0.36170796964860535,126.0,72.0,Move,,00d15h00m,VID289,E6
55.0,120.0,0.380577372187505,127.0,637.0,Move,,00d15h00m,VID289,E6
56.0,125.0,0.40460953537702665,136.0,351.0,Move,,00d15h00m,VID289,E6
60.0,139.0,0.4744531063273224,149.0,110.0,Move,,00d15h00m,VID289,E6
57.0,144.0,0.5002819478955256,146.0,311.0,Move large,[57.0],00d15h00m,VID289,E6
62.0,150.0,0.5318730468184368,148.0,555.0,Move,,00d15h00m,VID289,E6
64.0,154.0,0.5532891773565207,151.0,511.0,Move large,[64.0],00d15h00m,VID289,E6
490.0,160.0,0.5859371954131638,152.0,959.0,Splitting,[69.0],00d15h00m,VID289,E6
32.0,163.0,0.6024936868965405,156.0,640.0,Move,,00d15h00m,VID289,E6
70.0,171.0,0.6473889160770508,177.0,603.0,Coagulation,"[70.0, 72.0]",00d15h00m,VID289,E6
66.0,178.0,0.6875449514687827,164.0,335.0,Move,,00d15h00m,VID289,E6
76.0,194.0,0.782300646042156,183.0,737.0,Move,,00d15h00m,VID289,E6
79.0,197.0,0.8005167679208838,193.0,288.0,Move,,00d15h00m,VID289,E6
77.0,199.0,0.8127382670814085,190.0,355.0,Move,,00d15h00m,VID289,E6
73.0,201.0,0.8250213361566845,183.0,503.0,Move,,00d15h00m,VID289,E6
69.0,213.0,0.8999958340532646,202.0,972.0,Move,,00d15h00m,VID289,E6
78.0,218.0,0.9318710810865638,192.0,924.0,Move,,00d15h00m,VID289,E6
74.0,227.0,0.9901702639627336,204.0,191.0,Move large,[74.0],00d15h00m,VID289,E6
80.0,235.0,1.042972571687689,202.0,462.0,Move,,00d15h00m,VID289,E6
82.0,242.0,1.0899187979502543,217.0,694.0,Move,,00d15h00m,VID289,E6
