Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
1.0,2.0,0.0008188721246808825,14.0,79.0,Move,,03d00h00m,VID289,A1
1226.0,3.0,0.0015043641525426669,4.0,178.0,Move,,03d00h00m,VID289,A1
1321.0,4.0,0.002316120129145952,11.0,283.0,Splitting,[1310.0],03d00h00m,VID289,A1
1309.0,5.0,0.003236876283016213,3.0,323.0,Move,,03d00h00m,VID289,A1
1280.0,8.0,0.00655097699744706,5.0,486.0,Move,,03d00h00m,VID289,A1
5.0,9.0,0.007816905435867588,9.0,537.0,Move,,03d00h00m,VID289,A1
501.0,12.0,0.012034913220341335,7.0,682.0,Move,,03d00h00m,VID289,A1
7.0,13.0,0.013570196064376257,8.0,762.0,Move,,03d00h00m,VID289,A1
2.0,14.0,0.015165723982280842,10.0,447.0,Move,,03d00h00m,VID289,A1
1311.0,19.0,0.023977367262113004,29.0,969.0,Move,,03d00h00m,VID289,A1
16.0,21.0,0.027861214002358324,36.0,246.0,Move,,03d00h00m,VID289,A1
1312.0,23.0,0.03193470054051968,28.0,6.0,Move large,[1312.0],03d00h00m,VID289,A1
13.0,25.0,0.0361893770179055,41.0,614.0,Move,,03d00h00m,VID289,A1
17.0,31.0,0.04997049307098188,47.0,339.0,Move,,03d00h00m,VID289,A1
14.0,33.0,0.05488352586249501,48.0,891.0,Move,,03d00h00m,VID289,A1
23.0,34.0,0.057397036486864964,67.0,679.0,Coagulation,"[23.0, 38.0]",03d00h00m,VID289,A1
11.0,35.0,0.05994778768680816,60.0,935.0,Move,,03d00h00m,VID289,A1
20.0,39.0,0.07051280715651272,66.0,559.0,Move large,[20.0],03d00h00m,VID289,A1
19.0,41.0,0.07600582529567029,72.0,455.0,Coagulation,"[1241.0, 19.0]",03d00h00m,VID289,A1
1324.0,42.0,0.07880341341262866,48.0,89.0,Splitting,[45.0],03d00h00m,VID289,A1
18.0,43.0,0.08163450756952981,67.0,144.0,Move,,03d00h00m,VID289,A1
27.0,50.0,0.10235901558511033,72.0,791.0,Move large,[27.0],03d00h00m,VID289,A1
32.0,60.0,0.13455442031997064,74.0,506.0,Move,,03d00h00m,VID289,A1
1263.0,61.0,0.13793225822117572,71.0,246.0,Move large,[1263.0],03d00h00m,VID289,A1
12.0,67.0,0.15877543017241558,89.0,391.0,Move,,03d00h00m,VID289,A1
