Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
918.0,122.0,0.39013134053026927,385.0,306.0,Move large,[918.0],04d21h00m,VID289,E4
185.0,126.0,0.4094745475215827,556.0,428.0,Move,,04d21h00m,VID289,E4
917.0,150.0,0.5318730468184368,441.0,729.0,Move large,[917.0],04d21h00m,VID289,E4
879.0,164.0,0.6080466023653623,497.0,952.0,Move large,[879.0],04d21h00m,VID289,E4
880.0,172.0,0.6530760605562385,466.0,10.0,Move large,[880.0],04d21h00m,VID289,E4
883.0,243.0,1.096681467203604,558.0,719.0,Move large,[883.0],04d21h00m,VID289,E4
297.0,353.0,1.9201411372790897,680.0,764.0,Move large,[297.0],04d21h00m,VID289,E4
937.0,436.0,2.6357294425117934,775.0,470.0,Appearance type 1,,04d21h00m,VID289,E4
