Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
1.0,800.0,6.550976997447061,14.0,33.0,Move,,02d18h00m,VID289,A3
956.0,270.0,1.2844486311328287,6.0,230.0,Move,,02d18h00m,VID289,A3
1107.0,289.0,1.4223872743117578,5.0,386.0,Move,,02d18h00m,VID289,A3
1403.0,228.0,0.9967204399132411,3.0,446.0,Move,,02d18h00m,VID289,A3
1426.0,1347.0,14.312730293394191,24.0,544.0,Splitting,[3.0],02d18h00m,VID289,A3
1427.0,376.0,2.11082807271446,5.0,724.0,Splitting,[7.0],02d18h00m,VID289,A3
1247.0,1194.0,11.94476429269971,17.0,830.0,Move,,02d18h00m,VID289,A3
734.0,385.0,2.1870675064593317,16.0,936.0,Move,,02d18h00m,VID289,A3
1379.0,185.0,0.7284985414730539,19.0,3.0,Move,,02d18h00m,VID289,A3
2.0,1648.0,19.36898688296203,32.0,89.0,Move,,02d18h00m,VID289,A3
455.0,886.0,7.635222137254829,23.0,608.0,Move,,02d18h00m,VID289,A3
5.0,411.0,2.412313941787967,19.0,675.0,Move,,02d18h00m,VID289,A3
1428.0,537.0,3.602736691338473,27.0,752.0,Splitting,[7.0],02d18h00m,VID289,A3
12.0,1157.0,11.393866653037467,43.0,365.0,Move,,02d18h00m,VID289,A3
1228.0,182.0,0.7108503408194172,39.0,152.0,Move,,02d18h00m,VID289,A3
1300.0,667.0,4.987235138838387,46.0,870.0,Move,,02d18h00m,VID289,A3
28.0,1243.0,12.687550590259649,63.0,248.0,Move,,02d18h00m,VID289,A3
1301.0,853.0,7.212646388844445,61.0,318.0,Move,,02d18h00m,VID289,A3
1109.0,441.0,2.681198564502582,58.0,623.0,Move,,02d18h00m,VID289,A3
900.0,541.0,3.6430656007507056,64.0,469.0,Move,,02d18h00m,VID289,A3
474.0,243.0,1.096681467203604,59.0,757.0,Move,,02d18h00m,VID289,A3
42.0,1243.0,12.687550590259649,74.0,421.0,Move,,02d18h00m,VID289,A3
49.0,1098.0,10.533546194317267,78.0,726.0,Move,,02d18h00m,VID289,A3
741.0,1555.0,17.75279279055367,79.0,182.0,Move,,02d18h00m,VID289,A3
1304.0,1634.0,19.122698260309285,92.0,508.0,Move,,02d18h00m,VID289,A3
1010.0,317.0,1.634029855602648,71.0,117.0,Move,,02d18h00m,VID289,A3
