Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
1222.0,1.0,0.000289515016143244,11.0,169.0,Splitting,[775.0],04d18h00m,VID289,D3
767.0,2.0,0.0008188721246808825,8.0,243.0,Move,,04d18h00m,VID289,D3
1223.0,4.0,0.002316120129145952,11.0,473.0,Splitting,[773.0],04d18h00m,VID289,D3
1224.0,5.0,0.003236876283016213,16.0,575.0,Splitting,[5.0],04d18h00m,VID289,D3
776.0,6.0,0.0042549843745474936,20.0,705.0,Move,,04d18h00m,VID289,D3
1225.0,8.0,0.00655097699744706,18.0,378.0,Splitting,[1211.0],04d18h00m,VID289,D3
1226.0,11.0,0.010562339476929096,32.0,936.0,Splitting,[780.0],04d18h00m,VID289,D3
1227.0,17.0,0.02029291685993695,48.0,837.0,Splitting,[770.0],04d18h00m,VID289,D3
608.0,23.0,0.03193470054051968,72.0,352.0,Move,,04d18h00m,VID289,D3
1156.0,34.0,0.057397036486864964,94.0,589.0,Coagulation,"[1156.0, 1215.0]",04d18h00m,VID289,D3
1228.0,36.0,0.0625352434869407,65.0,4.0,Splitting,[1213.0],04d18h00m,VID289,D3
784.0,45.0,0.08739565964143772,81.0,428.0,Move,,04d18h00m,VID289,D3
604.0,49.0,0.09930365053713269,90.0,206.0,Move,,04d18h00m,VID289,D3
49.0,55.0,0.11809054535921516,101.0,705.0,Move,,04d18h00m,VID289,D3
66.0,59.0,0.13120461507637457,104.0,505.0,Move,,04d18h00m,VID289,D3
1229.0,80.0,0.20716008211303763,133.0,400.0,Splitting,[622.0],04d18h00m,VID289,D3
60.0,100.0,0.289515016143244,151.0,819.0,Move,,04d18h00m,VID289,D3
1230.0,132.0,0.43906820689996007,165.0,646.0,Splitting,[62.0],04d18h00m,VID289,D3
1231.0,139.0,0.4744531063273224,170.0,242.0,Splitting,[64.0],04d18h00m,VID289,D3
809.0,148.0,0.5212711232778233,182.0,356.0,Move,,04d18h00m,VID289,D3
1232.0,149.0,0.5265631907752397,175.0,512.0,Splitting,[85.0],04d18h00m,VID289,D3
1233.0,153.0,0.5479087552182975,168.0,474.0,Splitting,[802.0],04d18h00m,VID289,D3
43.0,159.0,0.5804526262322638,205.0,112.0,Move,,04d18h00m,VID289,D3
1234.0,161.0,0.5914389307647455,188.0,748.0,Splitting,[1121.0],04d18h00m,VID289,D3
1235.0,165.0,0.6136164733670331,201.0,192.0,Splitting,[81.0],04d18h00m,VID289,D3
86.0,167.0,0.6248068765987695,210.0,976.0,Move,,04d18h00m,VID289,D3
110.0,191.0,0.7642248315363699,221.0,869.0,Move large,[110.0],04d18h00m,VID289,D3
816.0,202.0,0.8311858632672322,226.0,459.0,Move,,04d18h00m,VID289,D3
111.0,231.0,1.0164571235458049,237.0,593.0,Move large,[111.0],04d18h00m,VID289,D3
82.0,246.0,1.1170529367210877,250.0,703.0,Move,,04d18h00m,VID289,D3
67.0,250.0,1.1444085847913348,248.0,529.0,Move,,04d18h00m,VID289,D3
640.0,266.0,1.2560113066434746,243.0,180.0,Move large,[640.0],04d18h00m,VID289,D3
656.0,271.0,1.2915910600344975,260.0,27.0,Move,,04d18h00m,VID289,D3
1191.0,272.0,1.2987466790359647,249.0,275.0,Move large,[1191.0],04d18h00m,VID289,D3
818.0,313.0,1.6031996165778333,286.0,776.0,Move,,04d18h00m,VID289,D3
98.0,350.0,1.8957154977851052,302.0,297.0,Move,,04d18h00m,VID289,D3
1178.0,360.0,1.977538034519427,286.0,435.0,Move large,[1178.0],04d18h00m,VID289,D3
1002.0,361.0,1.9857834957265106,305.0,974.0,Move,,04d18h00m,VID289,D3
1064.0,362.0,1.9940403851633957,307.0,8.0,Move,,04d18h00m,VID289,D3
653.0,372.0,2.0772343890770197,321.0,384.0,Move,,04d18h00m,VID289,D3
135.0,392.0,2.2469851101243417,322.0,212.0,Move large,[135.0],04d18h00m,VID289,D3
134.0,402.0,2.333512725679912,327.0,597.0,Move large,[134.0],04d18h00m,VID289,D3
832.0,414.0,2.438774277195223,331.0,896.0,Move large,[832.0],04d18h00m,VID289,D3
495.0,423.0,2.5187301744783612,344.0,804.0,Move,,04d18h00m,VID289,D3
178.0,443.0,2.6994586745592675,345.0,54.0,Move large,[178.0],04d18h00m,VID289,D3
103.0,449.0,2.754486229243217,347.0,441.0,Move large,[103.0],04d18h00m,VID289,D3
138.0,455.0,2.8098826906204026,355.0,112.0,Move large,[138.0],04d18h00m,VID289,D3
150.0,470.0,2.9499719121277503,363.0,691.0,Move large,[150.0],04d18h00m,VID289,D3
1248.0,484.0,3.082755891893262,361.0,183.0,Move large,[135.0],04d18h00m,VID289,D3
1249.0,500.0,3.236876283016213,367.0,229.0,Move large,[135.0],04d18h00m,VID289,D3
1250.0,515.0,3.3836227598128796,369.0,609.0,Move large,[134.0],04d18h00m,VID289,D3
144.0,522.0,3.452843134994583,400.0,512.0,Move,,04d18h00m,VID289,D3
172.0,530.0,3.5325221883391738,393.0,391.0,Move,,04d18h00m,VID289,D3
153.0,535.0,3.5826284226080882,394.0,174.0,Move large,[153.0],04d18h00m,VID289,D3
1037.0,545.0,3.683543877346247,384.0,765.0,Move large,[1037.0],04d18h00m,VID289,D3
1253.0,546.0,3.693686720630651,386.0,118.0,Move large,[138.0],04d18h00m,VID289,D3
1081.0,550.0,3.7343509346654677,406.0,992.0,Move large,[1081.0],04d18h00m,VID289,D3
851.0,574.0,3.9814286071755203,434.0,51.0,Move,,04d18h00m,VID289,D3
691.0,577.0,4.012682646109407,417.0,312.0,Move,,04d18h00m,VID289,D3
140.0,578.0,4.023118748557175,430.0,713.0,Move,,04d18h00m,VID289,D3
1255.0,593.0,4.180739753642784,430.0,181.0,Possible Coagulation,"[138.0, 153.0, 1131.0, 848.0]",04d18h00m,VID289,D3
685.0,594.0,4.191319437782129,431.0,637.0,Move large,[685.0],04d18h00m,VID289,D3
1218.0,600.0,4.254984374547495,437.0,789.0,Move large,[1218.0],04d18h00m,VID289,D3
186.0,627.0,4.54540311509652,458.0,265.0,Move large,[186.0],04d18h00m,VID289,D3
197.0,637.0,4.654577250081058,465.0,582.0,Move large,[197.0],04d18h00m,VID289,D3
1217.0,642.0,4.709487365331843,452.0,872.0,Move large,[1217.0],04d18h00m,VID289,D3
526.0,666.0,4.9760236724374485,487.0,985.0,Move,,04d18h00m,VID289,D3
859.0,667.0,4.987235138838387,468.0,334.0,Move large,[859.0],04d18h00m,VID289,D3
861.0,677.0,5.099811184031649,483.0,506.0,Move,,04d18h00m,VID289,D3
191.0,687.0,5.213221763053009,490.0,894.0,Move,,04d18h00m,VID289,D3
704.0,694.0,5.293102446064114,487.0,796.0,Move,,04d18h00m,VID289,D3
1204.0,701.0,5.373387008253272,475.0,713.0,Possible Coagulation,"[1218.0, 1204.0]",04d18h00m,VID289,D3
