Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
1.0,857.0,7.263439557061557,11.0,84.0,Move,,04d12h00m,VID289,A1
1397.0,263.0,1.234823018810861,3.0,169.0,Move,,04d12h00m,VID289,A1
1263.0,264.0,1.2418724260095197,6.0,284.0,Move,,04d12h00m,VID289,A1
1351.0,512.0,3.3541002226928947,7.0,340.0,Move,,04d12h00m,VID289,A1
2.0,1312.0,13.758524025919616,9.0,481.0,Coagulation,"[2.0, 5.0]",04d12h00m,VID289,A1
501.0,336.0,1.7831176961509327,7.0,689.0,Move,,04d12h00m,VID289,A1
7.0,420.0,2.491982737797688,6.0,758.0,Move,,04d12h00m,VID289,A1
1311.0,858.0,7.276156403038544,27.0,963.0,Move,,04d12h00m,VID289,A1
1322.0,245.0,1.110248565074561,27.0,6.0,Move,,04d12h00m,VID289,A1
16.0,1658.0,19.545549441821716,41.0,235.0,Move,,04d12h00m,VID289,A1
1420.0,960.0,8.611482900478121,40.0,604.0,Splitting,[51.0],04d12h00m,VID289,A1
1421.0,1611.0,18.720368987072472,49.0,560.0,Splitting,[51.0],04d12h00m,VID289,A1
17.0,853.0,7.212646388844445,46.0,341.0,Move,,04d12h00m,VID289,A1
11.0,1686.0,20.042756462371212,51.0,926.0,Move,,04d12h00m,VID289,A1
23.0,1665.0,19.669460619772455,59.0,685.0,Move,,04d12h00m,VID289,A1
21.0,1503.0,16.869785668166777,69.0,147.0,Move,,04d12h00m,VID289,A1
621.0,998.0,9.127816609779778,54.0,461.0,Move,,04d12h00m,VID289,A1
27.0,910.0,7.947548419505557,58.0,801.0,Move,,04d12h00m,VID289,A1
1403.0,421.0,2.500887971628977,69.0,512.0,Move,,04d12h00m,VID289,A1
1422.0,692.0,5.27023809244139,83.0,603.0,Splitting,[51.0],04d12h00m,VID289,A1
1411.0,321.0,1.6650552259692573,79.0,221.0,Move,,04d12h00m,VID289,A1
34.0,972.0,8.773451737628832,89.0,45.0,Move,,04d12h00m,VID289,A1
47.0,1870.0,23.411729833671437,96.0,859.0,Move,,04d12h00m,VID289,A1
12.0,1481.0,16.500749899681253,94.0,395.0,Move,,04d12h00m,VID289,A1
45.0,1094.0,10.476038287388537,99.0,104.0,Move,,04d12h00m,VID289,A1
43.0,1428.0,15.622963033793917,113.0,301.0,Move,,04d12h00m,VID289,A1
33.0,1184.0,11.795019075407282,108.0,782.0,Move,,04d12h00m,VID289,A1
37.0,1010.0,9.292940461011886,111.0,227.0,Move,,04d12h00m,VID289,A1
49.0,550.0,3.7343509346654677,111.0,522.0,Move,,04d12h00m,VID289,A1
1228.0,225.0,0.9771131794834482,113.0,984.0,Move,,04d12h00m,VID289,A1
814.0,321.0,1.6650552259692573,121.0,943.0,Move,,04d12h00m,VID289,A1
812.0,732.0,5.733736301802872,131.0,138.0,Move,,04d12h00m,VID289,A1
63.0,477.0,3.016120320063204,127.0,38.0,Move,,04d12h00m,VID289,A1
1365.0,170.0,0.6417183764583291,122.0,825.0,Move,,04d12h00m,VID289,A1
998.0,429.0,2.5725097667812373,130.0,454.0,Move,,04d12h00m,VID289,A1
67.0,591.0,4.159607143049382,145.0,638.0,Move,,04d12h00m,VID289,A1
