Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
529.0,3.0,0.0015043641525426669,59.0,955.0,Move,,02d06h00m,VID289,E6
34.0,6.0,0.0042549843745474936,94.0,542.0,Move,,02d06h00m,VID289,E6
695.0,10.0,0.009155268678330684,92.0,445.0,Move,,02d06h00m,VID289,E6
60.0,32.0,0.05240781597957648,147.0,117.0,Move,,02d06h00m,VID289,E6
700.0,86.0,0.23089725552495632,218.0,677.0,Move,,02d06h00m,VID289,E6
817.0,98.0,0.2808731387655427,213.0,865.0,Move,,02d06h00m,VID289,E6
792.0,114.0,0.3523938910049457,221.0,595.0,Move,,02d06h00m,VID289,E6
98.0,153.0,0.5479087552182975,294.0,724.0,Move,,02d06h00m,VID289,E6
99.0,161.0,0.5914389307647455,308.0,482.0,Move,,02d06h00m,VID289,E6
116.0,180.0,0.6991652771315018,305.0,890.0,Move,,02d06h00m,VID289,E6
764.0,259.0,1.2067595381033616,354.0,702.0,Move,,02d06h00m,VID289,E6
177.0,311.0,1.5878580588058475,438.0,599.0,Move,,02d06h00m,VID289,E6
818.0,321.0,1.6650552259692573,405.0,409.0,Move large and grow,[818.0],02d06h00m,VID289,E6
144.0,324.0,1.6884515741473987,409.0,502.0,Move,,02d06h00m,VID289,E6
713.0,330.0,1.7355694774624142,408.0,48.0,Move large,[713.0],02d06h00m,VID289,E6
780.0,373.0,2.0856159606702285,441.0,334.0,Move,,02d06h00m,VID289,E6
185.0,399.0,2.307440109332166,569.0,420.0,Move,,02d06h00m,VID289,E6
746.0,422.0,2.5098037880378854,483.0,90.0,Move,,02d06h00m,VID289,E6
264.0,450.0,2.763693420797978,531.0,135.0,Move,,02d06h00m,VID289,E6
826.0,467.0,2.9217726191360858,516.0,604.0,Appearance type 3,,02d06h00m,VID289,E6
827.0,472.0,2.9688215373912064,520.0,930.0,Appearance type 1,,02d06h00m,VID289,E6
828.0,494.0,3.17878765240647,551.0,175.0,Appearance type 3,,02d06h00m,VID289,E6
820.0,511.0,3.3442785568385975,564.0,556.0,Move,,02d06h00m,VID289,E6
805.0,519.0,3.423120054035012,568.0,100.0,Move,,02d06h00m,VID289,E6
317.0,535.0,3.5826284226080882,628.0,619.0,Move,,02d06h00m,VID289,E6
829.0,546.0,3.693686720630651,606.0,555.0,Appearance type 3,,02d06h00m,VID289,E6
799.0,613.0,4.394017738084396,687.0,506.0,Move,,02d06h00m,VID289,E6
313.0,635.0,4.632673379649339,725.0,297.0,Move,,02d06h00m,VID289,E6
808.0,654.0,4.842144175638197,724.0,449.0,Move large,[808.0],02d06h00m,VID289,E6
831.0,656.0,4.864372818922899,721.0,844.0,Appearance type 1,,02d06h00m,VID289,E6
690.0,684.0,5.179111328616407,774.0,183.0,Move,,02d06h00m,VID289,E6
775.0,690.0,5.247406755964517,757.0,332.0,Move,,02d06h00m,VID289,E6
832.0,700.0,5.361893134737115,772.0,401.0,Move large,[808.0],02d06h00m,VID289,E6
300.0,706.0,5.430979276021177,771.0,77.0,Move,,02d06h00m,VID289,E6
814.0,730.0,5.7102534410243315,791.0,813.0,Move large,[814.0],02d06h00m,VID289,E6
636.0,738.0,5.804377323434837,794.0,881.0,Move,,02d06h00m,VID289,E6
