Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
1692.0,1.0,0.000289515016143244,11.0,118.0,Move,,03d21h00m,VID289,A5
2105.0,4.0,0.002316120129145952,5.0,462.0,Move,,03d21h00m,VID289,A5
1939.0,5.0,0.003236876283016213,12.0,702.0,Move,,03d21h00m,VID289,A5
1941.0,7.0,0.005361893134737117,23.0,974.0,Move,,03d21h00m,VID289,A5
2107.0,9.0,0.007816905435867588,19.0,892.0,Move,,03d21h00m,VID289,A5
1694.0,10.0,0.009155268678330684,26.0,563.0,Move,,03d21h00m,VID289,A5
2109.0,14.0,0.015165723982280842,28.0,35.0,Move,,03d21h00m,VID289,A5
2111.0,20.0,0.025895010264129704,20.0,504.0,Move,,03d21h00m,VID289,A5
1965.0,22.0,0.02987480747732374,46.0,275.0,Move,,03d21h00m,VID289,A5
23.0,40.0,0.07324214942664548,68.0,717.0,Move,,03d21h00m,VID289,A5
1948.0,41.0,0.07600582529567029,48.0,619.0,Move,,03d21h00m,VID289,A5
2115.0,43.0,0.08163450756952981,59.0,203.0,Coagulation,"[2115.0, 2274.0]",03d21h00m,VID289,A5
2273.0,46.0,0.09032497322945274,54.0,641.0,Move,,03d21h00m,VID289,A5
2113.0,49.0,0.09930365053713269,86.0,822.0,Move,,03d21h00m,VID289,A5
2116.0,51.0,0.10544508910554565,79.0,391.0,Move,,03d21h00m,VID289,A5
37.0,57.0,0.12459005498915514,83.0,981.0,Move,,03d21h00m,VID289,A5
33.0,58.0,0.12788307907387347,96.0,99.0,Move,,03d21h00m,VID289,A5
2254.0,70.0,0.1695579487618939,104.0,591.0,Move,,03d21h00m,VID289,A5
1119.0,75.0,0.18804551906783346,84.0,533.0,Move,,03d21h00m,VID289,A5
2120.0,76.0,0.19181893809690403,83.0,21.0,Move,,03d21h00m,VID289,A5
1709.0,99.0,0.28518316587708553,121.0,7.0,Move,,03d21h00m,VID289,A5
2122.0,102.0,0.2982437501974043,130.0,510.0,Move,,03d21h00m,VID289,A5
1963.0,104.0,0.30705848509284644,111.0,733.0,Move,,03d21h00m,VID289,A5
1969.0,109.0,0.3294661803139742,119.0,297.0,Move,,03d21h00m,VID289,A5
2289.0,112.0,0.3431611606231755,125.0,800.0,Appearance type 3,,03d21h00m,VID289,A5
1723.0,114.0,0.3523938910049457,135.0,901.0,Move,,03d21h00m,VID289,A5
2256.0,119.0,0.3758300797125204,131.0,827.0,Move,,03d21h00m,VID289,A5
2127.0,121.0,0.38534448648665776,160.0,350.0,Move,,03d21h00m,VID289,A5
824.0,126.0,0.4094745475215827,137.0,660.0,Move,,03d21h00m,VID289,A5
1968.0,128.0,0.41926252783661183,140.0,438.0,Move,,03d21h00m,VID289,A5
2214.0,130.0,0.42912727858481897,146.0,220.0,Move,,03d21h00m,VID289,A5
2131.0,153.0,0.5479087552182975,169.0,247.0,Move large,[2131.0],03d21h00m,VID289,A5
2129.0,162.0,0.5969577788923633,208.0,714.0,Move,,03d21h00m,VID289,A5
1978.0,164.0,0.6080466023653623,193.0,7.0,Move,,03d21h00m,VID289,A5
1539.0,165.0,0.6136164733670331,185.0,649.0,Move,,03d21h00m,VID289,A5
2227.0,175.0,0.6702366418421394,190.0,374.0,Move,,03d21h00m,VID289,A5
2132.0,177.0,0.681759178499395,192.0,57.0,Move,,03d21h00m,VID289,A5
2133.0,178.0,0.6875449514687827,202.0,592.0,Move,,03d21h00m,VID289,A5
1376.0,181.0,0.704999739154436,240.0,853.0,Move,,03d21h00m,VID289,A5
2130.0,185.0,0.7284985414730539,239.0,304.0,Move,,03d21h00m,VID289,A5
2215.0,186.0,0.7344132613151277,196.0,868.0,Move,,03d21h00m,VID289,A5
2136.0,189.0,0.752252778063675,201.0,749.0,Move,,03d21h00m,VID289,A5
2278.0,202.0,0.8311858632672322,211.0,906.0,Move,,03d21h00m,VID289,A5
2137.0,203.0,0.8373656680552706,222.0,134.0,Move,,03d21h00m,VID289,A5
1728.0,205.0,0.8497709602354591,230.0,210.0,Move,,03d21h00m,VID289,A5
2291.0,216.0,0.9190766249022588,225.0,683.0,Appearance type 3,,03d21h00m,VID289,A5
1844.0,223.0,0.9641139982933393,250.0,764.0,Move,,03d21h00m,VID289,A5
2144.0,224.0,0.9706063348659739,260.0,653.0,Move,,03d21h00m,VID289,A5
2143.0,229.0,1.0032849960812908,252.0,512.0,Move,,03d21h00m,VID289,A5
2141.0,232.0,1.0230646325909878,255.0,422.0,Move,,03d21h00m,VID289,A5
1995.0,242.0,1.0899187979502543,268.0,40.0,Move,,03d21h00m,VID289,A5
2279.0,244.0,1.1034580657694057,247.0,359.0,Move large,[2279.0],03d21h00m,VID289,A5
1985.0,248.0,1.1307031843112534,269.0,972.0,Move,,03d21h00m,VID289,A5
1999.0,260.0,1.2137552347178167,297.0,587.0,Move,,03d21h00m,VID289,A5
2146.0,264.0,1.2418724260095197,308.0,213.0,Move,,03d21h00m,VID289,A5
1998.0,265.0,1.2489351970332863,302.0,82.0,Move,,03d21h00m,VID289,A5
2147.0,274.0,1.3130973903961065,309.0,858.0,Move,,03d21h00m,VID289,A5
1991.0,286.0,1.4002969526533742,324.0,721.0,Move,,03d21h00m,VID289,A5
2261.0,287.0,1.4076475834719608,324.0,293.0,Move,,03d21h00m,VID289,A5
2280.0,297.0,1.4818551982873653,328.0,543.0,Move,,03d21h00m,VID289,A5
2002.0,298.0,1.4893456116815906,347.0,145.0,Move,,03d21h00m,VID289,A5
920.0,301.0,1.5118922380113702,373.0,983.0,Move,,03d21h00m,VID289,A5
1173.0,307.0,1.5573228547898883,360.0,486.0,Move,,03d21h00m,VID289,A5
2153.0,308.0,1.5649381170636885,359.0,831.0,Move,,03d21h00m,VID289,A5
1756.0,310.0,1.5802057390596482,365.0,382.0,Move,,03d21h00m,VID289,A5
2154.0,311.0,1.5878580588058475,361.0,881.0,Move,,03d21h00m,VID289,A5
2006.0,312.0,1.5955226912278233,365.0,558.0,Move,,03d21h00m,VID289,A5
1748.0,316.0,1.6263039541348772,353.0,267.0,Move,,03d21h00m,VID289,A5
2004.0,318.0,1.641767952665496,370.0,669.0,Move,,03d21h00m,VID289,A5
1997.0,323.0,1.6806407033806199,376.0,74.0,Move,,03d21h00m,VID289,A5
2159.0,336.0,1.7831176961509327,392.0,755.0,Move,,03d21h00m,VID289,A5
1757.0,343.0,1.8391293452148314,390.0,926.0,Move,,03d21h00m,VID289,A5
2293.0,345.0,1.8552384503933061,407.0,236.0,Appearance type 3,,03d21h00m,VID289,A5
1192.0,349.0,1.887596808771704,424.0,21.0,Move,,03d21h00m,VID289,A5
2230.0,351.0,1.9038457932258428,406.0,284.0,Move,,03d21h00m,VID289,A5
2294.0,354.0,1.9283061530123677,408.0,965.0,Appearance type 3,,03d21h00m,VID289,A5
2162.0,359.0,1.9693040174037102,418.0,886.0,Move,,03d21h00m,VID289,A5
2026.0,364.0,2.0105883856087137,436.0,106.0,Move,,03d21h00m,VID289,A5
2018.0,367.0,2.0354957052187626,422.0,831.0,Move,,03d21h00m,VID289,A5
2231.0,378.0,2.1276921621409737,431.0,707.0,Move,,03d21h00m,VID289,A5
249.0,379.0,2.136140966689015,443.0,442.0,Move,,03d21h00m,VID289,A5
2161.0,381.0,2.15307202173604,443.0,339.0,Move,,03d21h00m,VID289,A5
2023.0,384.0,2.1785519997683167,459.0,595.0,Move,,03d21h00m,VID289,A5
267.0,391.0,2.238392438667545,479.0,759.0,Coagulation,"[267.0, 2245.0, 2282.0]",03d21h00m,VID289,A5
1769.0,395.0,2.2728288709514293,460.0,222.0,Move,,03d21h00m,VID289,A5
1770.0,396.0,2.2814653270166843,458.0,500.0,Move,,03d21h00m,VID289,A5
2281.0,404.0,2.3509486413706187,480.0,829.0,Move,,03d21h00m,VID289,A5
2039.0,412.0,2.4211233603702538,482.0,965.0,Move,,03d21h00m,VID289,A5
2167.0,429.0,2.5725097667812373,487.0,146.0,Move,,03d21h00m,VID289,A5
2266.0,430.0,2.581509795859706,474.0,548.0,Move,,03d21h00m,VID289,A5
2166.0,431.0,2.590520296182099,490.0,662.0,Move,,03d21h00m,VID289,A5
2295.0,434.0,2.6176145032768563,481.0,360.0,Appearance type 3,,03d21h00m,VID289,A5
1208.0,435.0,2.62666676744915,497.0,401.0,Move,,03d21h00m,VID289,A5
2296.0,445.0,2.717760050489105,499.0,229.0,Appearance type 3,,03d21h00m,VID289,A5
2057.0,446.0,2.7269261841203827,532.0,293.0,Move,,03d21h00m,VID289,A5
1765.0,447.0,2.7361025994548958,494.0,894.0,Move,,03d21h00m,VID289,A5
2172.0,458.0,2.837718496767197,512.0,112.0,Move,,03d21h00m,VID289,A5
2297.0,472.0,2.9688215373912064,525.0,787.0,Appearance type 3,,03d21h00m,VID289,A5
980.0,475.0,2.997170907764125,541.0,167.0,Move,,03d21h00m,VID289,A5
2174.0,477.0,3.016120320063204,542.0,912.0,Move,,03d21h00m,VID289,A5
2173.0,480.0,3.04461897750004,531.0,461.0,Move,,03d21h00m,VID289,A5
2045.0,483.0,3.073206832976252,542.0,543.0,Move,,03d21h00m,VID289,A5
2175.0,486.0,3.101883609045123,545.0,656.0,Move,,03d21h00m,VID289,A5
2177.0,490.0,3.1402571566674236,563.0,99.0,Move,,03d21h00m,VID289,A5
1889.0,493.0,3.1691403495389276,568.0,783.0,Move,,03d21h00m,VID289,A5
2183.0,496.0,3.19811155654284,561.0,957.0,Move large,[2183.0],03d21h00m,VID289,A5
2179.0,497.0,3.2077881380953346,581.0,386.0,Move,,03d21h00m,VID289,A5
2176.0,500.0,3.236876283016213,575.0,625.0,Move,,03d21h00m,VID289,A5
2042.0,503.0,3.2660518237933758,577.0,839.0,Move,,03d21h00m,VID289,A5
1203.0,508.0,3.3148712302238765,586.0,39.0,Move,,03d21h00m,VID289,A5
2049.0,510.0,3.33446649652931,596.0,489.0,Coagulation,"[2049.0, 2285.0]",03d21h00m,VID289,A5
2235.0,511.0,3.3442785568385975,577.0,228.0,Move,,03d21h00m,VID289,A5
2046.0,512.0,3.3541002226928947,579.0,728.0,Move,,03d21h00m,VID289,A5
2284.0,514.0,3.3737723335239287,591.0,699.0,Move,,03d21h00m,VID289,A5
2184.0,517.0,3.4033523076223062,598.0,143.0,Move,,03d21h00m,VID289,A5
2065.0,520.0,3.4330182286785518,618.0,250.0,Move,,03d21h00m,VID289,A5
2185.0,522.0,3.452843134994583,618.0,5.0,Move,,03d21h00m,VID289,A5
2188.0,526.0,3.4926069206656134,619.0,78.0,Move,,03d21h00m,VID289,A5
2189.0,532.0,3.5525364486983086,620.0,693.0,Move,,03d21h00m,VID289,A5
2187.0,534.0,3.5725883652942287,627.0,958.0,Move,,03d21h00m,VID289,A5
2186.0,538.0,3.612804885257069,646.0,384.0,Move,,03d21h00m,VID289,A5
2268.0,542.0,3.653171188281256,632.0,931.0,Move,,03d21h00m,VID289,A5
2193.0,548.0,3.7140002764297857,645.0,201.0,Move,,03d21h00m,VID289,A5
2192.0,549.0,3.724170971971744,660.0,43.0,Move,,03d21h00m,VID289,A5
2269.0,550.0,3.7343509346654677,647.0,123.0,Move,,03d21h00m,VID289,A5
293.0,553.0,3.764946341486644,681.0,896.0,Move,,03d21h00m,VID289,A5
1904.0,557.0,3.8058694486542546,658.0,683.0,Move,,03d21h00m,VID289,A5
2195.0,570.0,3.9398834757135526,676.0,995.0,Move,,03d21h00m,VID289,A5
