Day,Total Area,Mean Area,Cluster Count,Total Volume,Mean Volume
0.25,251130.0,660.8684210526316,380,5990540.54365566,15764.58037804121
0.375,221533.0,560.8430379746835,395,4563575.8960597385,11553.356698885415
0.5,208495.0,544.3733681462141,383,4193883.8361143162,10950.088344945996
0.625,199009.0,581.8976608187135,342,4187879.4413735317,12245.26152448401
0.75,196198.0,582.1899109792284,337,4148049.5153184324,12308.752270974577
0.875,193188.0,601.8317757009346,321,4143185.6271083066,12907.120333670737
1.0,173226.0,474.5917808219178,365,3204326.540295717,8778.976822727991
1.125,186344.0,675.1594202898551,276,4214132.271172097,15268.595185406148
1.25,189634.0,732.1776061776062,259,4452923.588920588,17192.75516957756
1.375,182956.0,752.9053497942386,243,4387455.304589802,18055.371623826348
1.5,184092.0,807.421052631579,228,4711392.582118167,20664.002553149854
1.625,184034.0,800.1478260869566,230,4710164.017140355,20478.973987566762
1.75,181711.0,849.1168224299065,214,4794530.435857892,22404.347831111645
1.875,186585.0,888.5,210,5081720.563996188,24198.669352362802
2.0,179330.0,747.2083333333334,240,4385989.015594257,18274.954231642736
2.125,183799.0,967.3631578947368,190,5287476.957734017,27828.82609333693
2.25,187947.0,1021.4510869565217,184,5490721.646378657,29840.878512927484
2.375,184876.0,973.0315789473684,190,5333292.667737342,28069.961409143907
2.5,188296.0,1040.3093922651933,181,5534972.57605615,30579.958983735633
2.625,186877.0,1105.7810650887575,169,5650324.7215685155,33433.87409212139
2.75,185230.0,1070.6936416184972,173,5607216.4959238935,32411.656045802854
2.875,182838.0,1108.1090909090908,165,5608308.611057516,33989.74915792434
3.0,171428.0,852.8756218905472,201,4444908.825164827,22113.974254551376
3.125,180175.0,1169.9675324675325,154,5584369.442281242,36262.13923559248
3.25,182304.0,1215.36,150,5795354.418950093,38635.696126333954
3.375,180591.0,1142.9810126582279,158,5713299.294192487,36160.12211514232
3.5,179750.0,1152.2435897435898,156,5623421.537078812,36047.57395563341
3.625,180346.0,1171.077922077922,154,5928887.311213596,38499.26825463374
3.75,174211.0,1123.941935483871,155,5504463.212093266,35512.665884472684
3.875,174325.0,1131.9805194805194,154,5452730.964961617,35407.34392832219
4.0,165683.0,936.0621468926554,177,4567150.388067214,25803.109537102904
4.125,171484.0,1143.2266666666667,150,5476361.241440333,36509.07494293556
4.25,169558.0,1177.486111111111,144,5381878.136681287,37374.15372695338
4.375,169881.0,1117.6381578947369,152,5379333.7668520585,35390.35372928986
4.5,166521.0,1110.14,150,5077484.57635794,33849.897175719605
4.625,167631.0,1132.6418918918919,148,5125085.291619102,34628.95467310204
4.75,169696.0,1154.3945578231292,147,5305916.238900292,36094.668291838716
4.875,166741.0,1191.0071428571428,140,5302644.417227078,37876.031551621985
5.0,157729.0,911.7283236994219,173,4198676.300879359,24269.80520739514
