Day,Total Area,Mean Area,Cluster Count,Total Volume,Mean Volume
0.25,189661.0,535.7655367231638,354,3820370.6768878787,10792.007561830165
0.375,175334.0,511.17784256559764,343,3399086.141835222,9909.872133630384
0.5,164926.0,544.3102310231023,303,3341412.1464496264,11027.762859569724
0.625,163498.0,633.7131782945736,258,3635957.7116104965,14092.859347327505
0.75,151919.0,812.4010695187166,187,3971113.1056496575,21235.898960693357
0.875,145383.0,1038.45,140,4409786.370847602,31498.474077482875
1.0,139499.0,1291.6574074074074,108,4750584.329446068,43986.89193931544
1.125,138431.0,1504.6847826086957,92,5451397.843236795,59254.324383008636
1.25,136714.0,1708.925,80,6136363.353918903,76704.54192398628
1.375,124714.0,1889.6060606060605,66,6213113.735718242,94138.08690482184
1.5,115195.0,2133.240740740741,54,6943126.909723692,128576.42425414243
1.625,115044.0,2300.88,50,7065875.387390054,141317.50774780108
1.75,111243.0,2648.6428571428573,42,8307343.915692267,197793.90275457778
1.875,104411.0,2900.3055555555557,36,7529214.812266417,209144.85589628934
2.0,101728.0,2906.5142857142855,35,7787784.138270852,222508.11823631005
2.125,99553.0,3016.757575757576,33,9129979.197012216,276666.03627309744
2.25,96306.0,2675.1666666666665,36,8302159.9790571965,230615.55497381103
2.375,98845.0,3408.448275862069,29,8769516.96804308,302397.13682907174
2.5,97593.0,2957.3636363636365,33,10079621.768538253,305443.0838950986
2.625,96905.0,3125.967741935484,31,11607835.942017438,374446.32071023993
2.75,94974.0,3652.846153846154,26,10928102.043250246,420311.61704808637
2.875,91825.0,3673.0,25,10258034.093952293,410321.3637580917
3.0,90728.0,5040.444444444444,18,15153873.62773101,841881.8682072783
3.125,87032.0,6216.571428571428,14,15490769.237399092,1106483.516957078
3.25,81924.0,5851.714285714285,14,14178217.85312994,1012729.8466521386
3.375,77715.0,5551.071428571428,14,13003571.782827213,928826.5559162295
3.5,74886.0,5349.0,14,12102297.150743516,864449.7964816798
3.625,71245.0,5937.083333333333,12,12343984.352990178,1028665.3627491816
3.75,69118.0,5316.7692307692305,13,11653201.4055891,896400.1081222384
3.875,69062.0,5312.461538461538,13,11526902.7162395,886684.8243261154
4.0,68152.0,5242.461538461538,13,11241671.350171637,864743.9500132028
4.125,67726.0,5209.692307692308,13,11066203.744346617,851246.4418728166
4.25,66222.0,6020.181818181818,11,10942163.184750425,994742.107704584
4.375,66324.0,6029.454545454545,11,10973784.725162778,997616.7931966162
4.5,66623.0,6662.3,10,11095485.111412495,1109548.5111412494
4.625,68054.0,6186.727272727273,11,11382399.29009178,1034763.5718265254
4.75,68234.0,6823.4,10,11408512.891749931,1140851.289174993
4.875,68676.0,6243.272727272727,11,11451153.351610236,1041013.941055476
5.0,69556.0,7728.444444444444,9,11722544.350249413,1302504.9278054903
